## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates INPUT=[alignment/SRR27639551.sorted.bam] OUTPUT=alignment/SRR27639551.dedup.bam METRICS_FILE=logs/SRR27639551.dup_metrics.txt    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 TAG_DUPLICATE_SET_MEMBERS=false REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag CLEAR_DT=true DUPLEX_UMI=false FLOW_MODE=false FLOW_DUP_STRATEGY=FLOW_QUALITY_SUM_STRATEGY FLOW_USE_END_IN_UNPAIRED_READS=false FLOW_USE_UNPAIRED_CLIPPED_END=false FLOW_UNPAIRED_END_UNCERTAINTY=0 FLOW_UNPAIRED_START_UNCERTAINTY=0 FLOW_SKIP_FIRST_N_FLOWS=0 FLOW_Q_IS_KNOWN_END=false FLOW_EFFECTIVE_QUALITY_THRESHOLD=15 ADD_PG_TAG_TO_READS=true REMOVE_DUPLICATES=false ASSUME_SORTED=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Apr 21 02:47:38 EDT 2026

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
SRR27639551	82641	84006650	577072	231267	34185	17398647	0	0.207212	173713485

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	non_optical_sets
1.0	1	52494943	52494943
2.0	1.616564	11407020	11407020
3.0	1.996715	2228937	2228937
4.0	2.231103	396536	396536
5.0	2.375618	66376	66376
6.0	2.46472	10709	10709
7.0	2.519658	2081	2081
8.0	2.55353	584	584
9.0	2.574415	273	273
10.0	2.587292	164	164
11.0	2.595231	107	107
12.0	2.600126	77	77
13.0	2.603144	47	47
14.0	2.605005	49	49
15.0	2.606152	27	27
16.0	2.60686	17	17
17.0	2.607296	15	15
18.0	2.607565	8	8
19.0	2.607731	12	12
20.0	2.607833	4	4
21.0	2.607896	3	3
22.0	2.607935	2	2
23.0	2.607959	4	4
24.0	2.607973	1	1
25.0	2.607983	1	1
26.0	2.607988	0	0
27.0	2.607992	3	3
28.0	2.607994	0	0
29.0	2.607995	0	0
30.0	2.607996	0	0
31.0	2.607996	0	0
32.0	2.607997	0	0
33.0	2.607997	0	0
34.0	2.607997	1	1
35.0	2.607997	0	0
36.0	2.607997	0	0
37.0	2.607997	0	0
38.0	2.607997	0	0
39.0	2.607997	0	0
40.0	2.607997	0	0
41.0	2.607997	0	0
42.0	2.607997	1	1
43.0	2.607997	0	0
44.0	2.607997	0	0
45.0	2.607997	0	0
46.0	2.607997	0	0
47.0	2.607997	0	0
48.0	2.607997	0	0
49.0	2.607997	0	0
50.0	2.607997	0	0
51.0	2.607997	0	0
52.0	2.607997	0	0
53.0	2.607997	0	0
54.0	2.607997	0	0
55.0	2.607997	1	1
56.0	2.607997	0	0
57.0	2.607997	0	0
58.0	2.607997	0	0
59.0	2.607997	0	0
60.0	2.607997	0	0
61.0	2.607997	0	0
62.0	2.607997	0	0
63.0	2.607997	0	0
64.0	2.607997	0	0
65.0	2.607997	0	0
66.0	2.607997	0	0
67.0	2.607997	0	0
68.0	2.607997	0	0
69.0	2.607997	0	0
70.0	2.607997	0	0
71.0	2.607997	0	0
72.0	2.607997	0	0
73.0	2.607997	0	0
74.0	2.607997	0	0
75.0	2.607997	0	0
76.0	2.607997	0	0
77.0	2.607997	0	0
78.0	2.607997	0	0
79.0	2.607997	0	0
80.0	2.607997	0	0
81.0	2.607997	0	0
82.0	2.607997	0	0
83.0	2.607997	0	0
84.0	2.607997	0	0
85.0	2.607997	0	0
86.0	2.607997	0	0
87.0	2.607997	0	0
88.0	2.607997	0	0
89.0	2.607997	0	0
90.0	2.607997	0	0
91.0	2.607997	0	0
92.0	2.607997	0	0
93.0	2.607997	0	0
94.0	2.607997	0	0
95.0	2.607997	0	0
96.0	2.607997	0	0
97.0	2.607997	0	0
98.0	2.607997	0	0
99.0	2.607997	0	0
100.0	2.607997	0	0

