## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates INPUT=[alignment/SRR27639596.sorted.bam] OUTPUT=alignment/SRR27639596.dedup.bam METRICS_FILE=logs/SRR27639596.dup_metrics.txt    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 TAG_DUPLICATE_SET_MEMBERS=false REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag CLEAR_DT=true DUPLEX_UMI=false FLOW_MODE=false FLOW_DUP_STRATEGY=FLOW_QUALITY_SUM_STRATEGY FLOW_USE_END_IN_UNPAIRED_READS=false FLOW_USE_UNPAIRED_CLIPPED_END=false FLOW_UNPAIRED_END_UNCERTAINTY=0 FLOW_UNPAIRED_START_UNCERTAINTY=0 FLOW_SKIP_FIRST_N_FLOWS=0 FLOW_Q_IS_KNOWN_END=false FLOW_EFFECTIVE_QUALITY_THRESHOLD=15 ADD_PG_TAG_TO_READS=true REMOVE_DUPLICATES=false ASSUME_SORTED=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Apr 21 02:16:15 EDT 2026

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
SRR27639596	48993	79891651	347953	153559	20240	15752346	0	0.197238	174982567

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	non_optical_sets
1.0	1	51205273	51205273
2.0	1.633453	10584576	10584576
3.0	2.034716	1957687	1957687
4.0	2.288897	329192	329192
5.0	2.449909	52241	52241
6.0	2.551903	8084	8084
7.0	2.616511	1493	1493
8.0	2.657437	377	377
9.0	2.683362	153	153
10.0	2.699784	83	83
11.0	2.710187	42	42
12.0	2.716776	27	27
13.0	2.720951	17	17
14.0	2.723595	13	13
15.0	2.72527	13	13
16.0	2.726331	8	8
17.0	2.727003	10	10
18.0	2.727429	3	3
19.0	2.727698	5	5
20.0	2.727869	3	3
21.0	2.727977	1	1
22.0	2.728046	0	0
23.0	2.728089	1	1
24.0	2.728117	2	2
25.0	2.728134	0	0
26.0	2.728145	0	0
27.0	2.728152	0	0
28.0	2.728157	0	0
29.0	2.72816	0	0
30.0	2.728161	0	0
31.0	2.728162	1	1
32.0	2.728163	0	0
33.0	2.728164	0	0
34.0	2.728164	0	0
35.0	2.728164	0	0
36.0	2.728164	0	0
37.0	2.728164	0	0
38.0	2.728164	0	0
39.0	2.728164	0	0
40.0	2.728164	0	0
41.0	2.728164	0	0
42.0	2.728164	0	0
43.0	2.728164	0	0
44.0	2.728164	0	0
45.0	2.728164	0	0
46.0	2.728164	0	0
47.0	2.728164	0	0
48.0	2.728164	0	0
49.0	2.728164	0	0
50.0	2.728164	0	0
51.0	2.728164	0	0
52.0	2.728164	0	0
53.0	2.728164	0	0
54.0	2.728164	0	0
55.0	2.728164	0	0
56.0	2.728164	0	0
57.0	2.728164	0	0
58.0	2.728164	0	0
59.0	2.728164	0	0
60.0	2.728164	0	0
61.0	2.728164	0	0
62.0	2.728164	0	0
63.0	2.728164	0	0
64.0	2.728164	0	0
65.0	2.728164	0	0
66.0	2.728164	0	0
67.0	2.728164	0	0
68.0	2.728164	0	0
69.0	2.728164	0	0
70.0	2.728164	0	0
71.0	2.728164	0	0
72.0	2.728164	0	0
73.0	2.728164	0	0
74.0	2.728164	0	0
75.0	2.728164	0	0
76.0	2.728164	0	0
77.0	2.728164	0	0
78.0	2.728164	0	0
79.0	2.728164	0	0
80.0	2.728164	0	0
81.0	2.728164	0	0
82.0	2.728164	0	0
83.0	2.728164	0	0
84.0	2.728164	0	0
85.0	2.728164	0	0
86.0	2.728164	0	0
87.0	2.728164	0	0
88.0	2.728164	0	0
89.0	2.728164	0	0
90.0	2.728164	0	0
91.0	2.728164	0	0
92.0	2.728164	0	0
93.0	2.728164	0	0
94.0	2.728164	0	0
95.0	2.728164	0	0
96.0	2.728164	0	0
97.0	2.728164	0	0
98.0	2.728164	0	0
99.0	2.728164	0	0
100.0	2.728164	0	0

